ACL table
_uuid                                action        direction external_ids log   match                 meter name priority severity
------------------------------------ ------------- --------- ------------ ----- --------------------- ----- ---- -------- --------
aa2bab19-9b31-4d01-b1ad-f5e49dd269f8 allow-related to-lport  {}           false "ip4.src==10.244.0.2" []    []   1001     []
3ed181f9-7c68-47ee-bcdc-6cf393a02772 allow-related to-lport  {}           false "ip4.src==10.244.1.2" []    []   1001     []
7071b927-cc6d-4145-8849-395e6226fdac allow-related to-lport  {}           false "ip4.src==10.244.2.2" []    []   1001     []

Address_Set table
_uuid                                addresses                    external_ids                 name
------------------------------------ ---------------------------- ---------------------------- ---------------------
8e33c234-2da4-4e5f-858f-4bcd5bc3c68b []                           {name=default_v4}            a5154718082306775057
0af13342-2ea7-486d-825a-b57bd70a8cbc []                           {name=kube-node-lease_v4}    a16235039932615691331
fde500ad-eff5-47a3-be0b-02e7c23a1357 []                           {name=kube-public_v4}        a18363165982804349389
99ad8ae1-bc86-4662-bca4-a88fd675ee3d []                           {name=ovn-kubernetes_v4}     a5675285926127865604
532757d0-bc2e-41b9-bafe-2542f995b011 ["10.244.0.5"]               {name=local-path-storage_v4} a10956707444534956691
3581fd85-1428-45a8-9702-edec71dda0a1 ["10.244.0.3", "10.244.0.4"] {name=kube-system_v4}        a6937002112706621489

BFD table
_uuid detect_mult dst_ip external_ids logical_port min_rx min_tx options status
----- ----------- ------ ------------ ------------ ------ ------ ------- ------

Connection table
_uuid                                external_ids inactivity_probe is_connected max_backoff other_config status                                                                                  target
------------------------------------ ------------ ---------------- ------------ ----------- ------------ --------------------------------------------------------------------------------------- ----------------------
413afe3e-79ff-4583-88a6-f02b70b8e927 {}           0                true         []          {}           {bound_port="6641", n_connections="3", sec_since_connect="0", sec_since_disconnect="0"} "ptcp:6641:172.18.0.4"

DHCP_Options table
_uuid cidr external_ids options
----- ---- ------------ -------

DNS table
_uuid external_ids records
----- ------------ -------

Forwarding_Group table
_uuid child_port external_ids liveness name vip vmac
----- ---------- ------------ -------- ---- --- ----

Gateway_Chassis table
_uuid                                chassis_name                           external_ids                      name                                                        options priority
------------------------------------ -------------------------------------- --------------------------------- ----------------------------------------------------------- ------- --------
99c45e0b-3688-4992-900c-7d5a25930ba3 "1bd76edb-8626-4ecd-8185-788bd2121bda" {dgp_name=rtos-node_local_switch} rtos-node_local_switch_1bd76edb-8626-4ecd-8185-788bd2121bda {}      100

HA_Chassis table
_uuid chassis_name external_ids priority
----- ------------ ------------ --------

HA_Chassis_Group table
_uuid external_ids ha_chassis name
----- ------------ ---------- ----

Load_Balancer table
_uuid                                external_ids                                  health_check ip_port_mappings name options protocol selection_fields vips
------------------------------------ --------------------------------------------- ------------ ---------------- ---- ------- -------- ---------------- ---------------------------------------------------------------------------------------------------------------------------------------
a6850cf1-5aee-462c-9195-5397d6417938 {SCTP_lb_gateway_router=GR_ovn-control-plane} []           {}               ""   {}      sctp     []               {}
3a2be97e-8be5-44c5-91b9-a93e1767e374 {SCTP_lb_gateway_router=GR_ovn-worker}        []           {}               ""   {}      sctp     []               {}
90f32ca6-e752-4ea9-9e49-6ff3d3cc4e18 {SCTP_lb_gateway_router=GR_ovn-worker2}       []           {}               ""   {}      sctp     []               {}
0c0d7ca5-c56d-4130-9e8f-5d8ffb3a5915 {TCP_lb_gateway_router=GR_ovn-control-plane}  []           {}               ""   {}      tcp      []               {}
3f00965b-7930-4232-8cee-cf877ca1da04 {TCP_lb_gateway_router=GR_ovn-worker}         []           {}               ""   {}      tcp      []               {}
53e13052-4a7e-4857-be8f-c234d978482f {TCP_lb_gateway_router=GR_ovn-worker2}        []           {}               ""   {}      tcp      []               {}
d8df5624-a22e-447b-95cc-fc40f60b6aa4 {UDP_lb_gateway_router=GR_ovn-control-plane}  []           {}               ""   {}      udp      []               {}
667a3465-d536-4561-9daa-210a32ad7a5a {UDP_lb_gateway_router=GR_ovn-worker}         []           {}               ""   {}      udp      []               {}
6be22262-6c30-4cd3-929b-23e79f90182f {UDP_lb_gateway_router=GR_ovn-worker2}        []           {}               ""   {}      udp      []               {}
d7b47c1b-55bc-45a9-bb0d-4032e327c3d2 {k8s-cluster-lb-sctp=yes}                     []           {}               ""   {}      sctp     []               {}
32cc16f0-cda7-4c63-87d7-d30349ce32d7 {k8s-cluster-lb-tcp=yes}                      []           {}               ""   {}      tcp      []               {"10.96.0.10:53"="10.244.0.3:53,10.244.0.4:53", "10.96.0.10:9153"="10.244.0.3:9153,10.244.0.4:9153", "10.96.0.1:443"="172.18.0.4:6443"}
